Sector	Code	Name	ChagesRatio	Marcap	Amount	MACD
AI	096250	와이즈넛	17.45	2012	209	1. 상승 추세 / 추세 확대중
AI	304100	솔트룩스	17.35	4997	982	1. 상승 추세 / 추세 확대중
AI	402030	코난테크놀로지	12.67	3629	155	1. 상승 추세 / 추세 확대중
AI	389140	포바이포	11.08	2233	747	2. 상승 추세 / 눌림목
AI	108860	셀바스AI	7.92	3891	91	1. 상승 추세 / 추세 확대중
AI	210120	캔버스엔	6.03	1095	16	2. 상승 추세 / 눌림목
AI	039980	폴라리스AI	3.61	2137	66	1. 상승 추세 / 추세 확대중
AI	377480	마음AI	1.36	1739	429	1. 상승 추세 / 추세 확대중
AI	163280	에어레인	-0.48	1704	39	2. 상승 추세 / 눌림목
IT소프트웨어	094480	갤럭시아머니트리	29.95	3471	123	1. 상승 추세 / 추세 확대중
IT소프트웨어	377300	카카오페이	29.92	50577	77	1. 상승 추세 / 추세 확대중
IT소프트웨어	053300	한국정보인증	24.88	2516	184	1. 상승 추세 / 추세 확대중
IT소프트웨어	124500	아이티센글로벌	17.01	2819	109	1. 상승 추세 / 추세 확대중
IT소프트웨어	158430	아톤	15.66	1470	14	1. 상승 추세 / 추세 확대중
IT소프트웨어	035720	카카오	13.54	185739	817	1. 상승 추세 / 추세 확대중
IT소프트웨어	163730	핑거	10.93	1143	64	1. 상승 추세 / 추세 확대중
IT소프트웨어	181710	NHN	10.25	6503	11	1. 상승 추세 / 추세 확대중
IT소프트웨어	030520	한글과컴퓨터	10.07	6153	233	1. 상승 추세 / 추세 확대중
IT소프트웨어	052400	코나아이	8.8	8257	2061	1. 상승 추세 / 추세 확대중
IT소프트웨어	023590	다우기술	5.28	12136	37	1. 상승 추세 / 추세 확대중
IT소프트웨어	047560	이스트소프트	4.22	2469	48	1. 상승 추세 / 추세 확대중
IT소프트웨어	294570	쿠콘	3.92	2517	235	1. 상승 추세 / 추세 확대중
IT소프트웨어	377030	비트맥스	3.34	1660	57	2. 상승 추세 / 눌림목
IT소프트웨어	356680	엑스게이트	3.3	2312	11	2. 상승 추세 / 눌림목
IT소프트웨어	307950	현대오토에버	3.15	38859	21	2. 상승 추세 / 눌림목
IT소프트웨어	011690	와이투솔루션	3.13	1289	41	2. 상승 추세 / 눌림목
IT소프트웨어	300080	플리토	2.83	1251	24	1. 상승 추세 / 추세 확대중
IT소프트웨어	041020	폴라리스오피스	2.75	2898	23	1. 상승 추세 / 추세 확대중
IT소프트웨어	012750	에스원	1.58	26295	20	1. 상승 추세 / 추세 확대중
IT소프트웨어	413640	비아이매트릭스	1.52	1101	53	1. 상승 추세 / 추세 확대중
IT소프트웨어	086960	MDS테크	1.18	1437	770	2. 상승 추세 / 눌림목
IT소프트웨어	053580	웹케시	0.79	2781	2111	1. 상승 추세 / 추세 확대중
IT소프트웨어	257720	실리콘투	0.78	31258	284	2. 상승 추세 / 눌림목
IT소프트웨어	088340	유라클	0.17	1205	1412	1. 상승 추세 / 추세 확대중
IT소프트웨어	032190	다우데이타	0.17	6576	47	2. 상승 추세 / 눌림목
IT소프트웨어	205100	엑셈	-0.45	1540	15	1. 상승 추세 / 추세 확대중
IT소프트웨어	472850	폰드그룹	-5.33	2878	17	2. 상승 추세 / 눌림목
IT하드웨어/반도체	119830	아이텍	4.35	1320	11	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	389020	자람테크놀로지	3.23	2510	13	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	058470	리노공업	2.44	33190	257	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	000660	SK하이닉스	2.34	1607065	6315	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	004710	한솔테크닉스	1.71	1708	10	2. 상승 추세 / 눌림목
IT하드웨어/반도체	007660	이수페타시스	1.6	29877	333	2. 상승 추세 / 눌림목
IT하드웨어/반도체	005930	삼성전자	1.27	3397872	5957	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	222800	심텍	1.17	5870	23	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	093520	매커스	1.1	2300	73	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	033320	제이씨현시스템	1.06	1051	11	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	399720	가온칩스	1.02	4720	12	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	353200	대덕전자	0.7	7511	12	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	000990	DB하이텍	0.57	18758	45	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	218410	RFHIC	0.44	5760	78	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	102120	어보브반도체	0.42	1952	18	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	080220	제주반도체	0.15	4622	33	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	126730	코칩	-0.08	1113	10	2. 상승 추세 / 눌림목
IT하드웨어/반도체	108320	LX세미콘	-0.32	9986	14	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	011070	LG이노텍	-0.74	34127	57	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	009150	삼성전기	-1.59	90976	150	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	214430	아이쓰리시스템	-5.88	5848	20	2. 상승 추세 / 눌림목
가전제품	264850	이랜시스	-0.2	1523	10	1. 상승 추세 / 추세 확대중
건설	012630	HDC	3.05	12247	29	1. 상승 추세 / 추세 확대중
건설	294870	HDC현대산업개발	2.9	15652	17	2. 상승 추세 / 눌림목
건설	010780	아이에스동서	2.55	6746	17	1. 상승 추세 / 추세 확대중
건설	151860	KG에코솔루션	1.83	3041	17	1. 상승 추세 / 추세 확대중
건설	000210	DL	1.34	9828	50	2. 상승 추세 / 눌림목
건설	375500	DL이앤씨	1.02	19172	46	2. 상승 추세 / 눌림목
건설	000720	현대건설	0.15	74162	621	2. 상승 추세 / 눌림목
건설	006360	GS건설	-0.64	19769	67	2. 상승 추세 / 눌림목
건설	047040	대우건설	-0.88	17934	51	2. 상승 추세 / 눌림목
건설	028050	삼성E&A	-0.9	42826	87	2. 상승 추세 / 눌림목
건설	028260	삼성물산	-1.42	267033	605	2. 상승 추세 / 눌림목
건자재	011390	부산산업	5.47	1063	14	1. 상승 추세 / 추세 확대중
건자재	023410	유진기업	2.94	2736	12	1. 상승 추세 / 추세 확대중
건자재	018310	삼목에스폼	1.7	3377	11	1. 상승 추세 / 추세 확대중
건자재	002380	KCC	1.53	28214	71	1. 상승 추세 / 추세 확대중
건자재	300720	한일시멘트	0.48	13055	11	1. 상승 추세 / 추세 확대중
건자재	007110	일신석재	0.38	1700	122	1. 상승 추세 / 추세 확대중
건자재	225190	LK삼양	-0.7	1476	196	2. 상승 추세 / 눌림목
건자재	004980	성신양회	-1.08	2199	15	1. 상승 추세 / 추세 확대중
게임	293490	카카오게임즈	6.55	13664	36	1. 상승 추세 / 추세 확대중
게임	058630	엠게임	3.15	1039	11	1. 상승 추세 / 추세 확대중
게임	225570	넥슨게임즈	0.82	9042	30	1. 상승 추세 / 추세 확대중
게임	036570	엔씨소프트	0.06	36172	152	1. 상승 추세 / 추세 확대중
게임	251270	넷마블	-1.43	47532	39	2. 상승 추세 / 눌림목
게임	194480	데브시스터즈	-1.52	5180	14	2. 상승 추세 / 눌림목
기타	006730	서부T&D	1.85	5616	37	2. 상승 추세 / 눌림목
기타금융	034310	NICE	4.83	4451	14	1. 상승 추세 / 추세 확대중
기타금융	012700	리드코프	4.76	1412	22	1. 상승 추세 / 추세 확대중
기타금융	012030	DB	1.28	3005	22	1. 상승 추세 / 추세 확대중
기타금융	034830	한국토지신탁	0.94	3092	12	1. 상승 추세 / 추세 확대중
기타금융	007330	푸른저축은행	0.75	1392	10	1. 상승 추세 / 추세 확대중
디스플레이 소재	102710	이엔에프테크놀로지	0.0	4293	29	1. 상승 추세 / 추세 확대중
디스플레이 장비	161580	필옵틱스	-0.93	8067	78	1. 상승 추세 / 추세 확대중
디스플레이 패널	034220	LG디스플레이	2.71	42100	33	1. 상승 추세 / 추세 확대중
로봇	090710	휴림로봇	0.94	2320	46	1. 상승 추세 / 추세 확대중
로봇	058610	에스피지	-0.37	5865	65	1. 상승 추세 / 추세 확대중
로봇	388720	유일로보틱스	-0.52	9037	119	1. 상승 추세 / 추세 확대중
로봇	090360	로보스타	-2.1	2539	29	1. 상승 추세 / 추세 확대중
로봇	117730	티로보틱스	-2.93	2344	95	1. 상승 추세 / 추세 확대중
로봇	160190	하이젠알앤엠	-3.12	11721	76	2. 상승 추세 / 눌림목
로봇	108490	로보티즈	-5.57	8918	582	2. 상승 추세 / 눌림목
미디어	034120	SBS	3.7	4999	21	2. 상승 추세 / 눌림목
미디어	214320	이노션	1.85	7368	10	1. 상승 추세 / 추세 확대중
미디어	461300	아이스크림미디어	1.84	2366	16	1. 상승 추세 / 추세 확대중
미디어	030000	제일기획	1.24	21455	33	1. 상승 추세 / 추세 확대중
미디어	067160	SOOP	-2.83	10023	32	2. 상승 추세 / 눌림목
미용기기	336570	원텍	2.15	8988	54	1. 상승 추세 / 추세 확대중
미용기기	251970	펌텍코리아	-1.4	6919	14	2. 상승 추세 / 눌림목
바이오/제약/신약개발	445680	큐리옥스바이오시스템즈	10.48	4933	22	2. 상승 추세 / 눌림목
바이오/제약/신약개발	195940	HK이노엔	9.63	11728	33	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	041910	폴라리스AI파마	5.22	1157	35	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	115180	큐리언트	5.2	3591	13	2. 상승 추세 / 눌림목
바이오/제약/신약개발	196170	알테오젠	4.07	205305	2282	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	214450	파마리서치	3.97	51286	229	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	237690	에스티팜	3.11	15678	58	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	298380	에이비엘바이오	2.64	37318	653	2. 상승 추세 / 눌림목
바이오/제약/신약개발	068760	셀트리온제약	2.43	21446	20	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	082270	젬백스	2.4	21324	79	2. 상승 추세 / 눌림목
바이오/제약/신약개발	206650	유바이오로직스	2.34	4761	10	2. 상승 추세 / 눌림목
바이오/제약/신약개발	068270	셀트리온	2.16	358105	296	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	397030	에이프릴바이오	2.14	3800	23	2. 상승 추세 / 눌림목
바이오/제약/신약개발	069620	대웅제약	1.93	18805	108	2. 상승 추세 / 눌림목
바이오/제약/신약개발	053030	바이넥스	1.51	5709	57	2. 상승 추세 / 눌림목
바이오/제약/신약개발	382150	온코크로스	1.37	1602	73	2. 상승 추세 / 눌림목
바이오/제약/신약개발	006280	녹십자	1.34	15157	25	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	330350	위더스제약	1.09	1050	36	2. 상승 추세 / 눌림목
바이오/제약/신약개발	256840	한국비엔씨	0.39	3761	103	2. 상승 추세 / 눌림목
바이오/제약/신약개발	302440	SK바이오사이언스	0.33	36480	30	2. 상승 추세 / 눌림목
바이오/제약/신약개발	092040	아미코젠	0.26	2459	17	2. 상승 추세 / 눌림목
바이오/제약/신약개발	308430	셀비온	0.22	2294	11	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	086450	동국제약	0.17	7643	14	2. 상승 추세 / 눌림목
바이오/제약/신약개발	003090	대웅	0.0	16454	65	2. 상승 추세 / 눌림목
바이오/제약/신약개발	007390	네이처셀	-0.37	17204	66	2. 상승 추세 / 눌림목
바이오/제약/신약개발	307750	국전약품	-0.38	2076	57	2. 상승 추세 / 눌림목
바이오/제약/신약개발	067080	대화제약	-0.63	3058	20	2. 상승 추세 / 눌림목
바이오/제약/신약개발	140410	메지온	-1.39	11837	32	2. 상승 추세 / 눌림목
바이오/제약/신약개발	019170	신풍제약	-1.47	6072	159	2. 상승 추세 / 눌림목
바이오/제약/신약개발	138610	나이벡	-1.47	3425	116	2. 상승 추세 / 눌림목
바이오/제약/신약개발	378800	샤페론	-1.87	1079	57	2. 상승 추세 / 눌림목
바이오/제약/신약개발	299660	셀리드	-1.97	1597	88	2. 상승 추세 / 눌림목
반도체	131970	두산테스나	-0.36	5363	35	2. 상승 추세 / 눌림목
반도체 소재	101490	에스앤에스텍	1.98	7432	22	1. 상승 추세 / 추세 확대중
반도체 소재	112290	와이씨켐	0.76	2340	10	1. 상승 추세 / 추세 확대중
반도체 소재	089010	켐트로닉스	-0.81	3503	13	1. 상승 추세 / 추세 확대중
반도체 소재	064760	티씨케이	-0.84	10670	16	1. 상승 추세 / 추세 확대중
반도체 장비	183300	코미코	3.31	6276	52	1. 상승 추세 / 추세 확대중
반도체 장비	059090	미코	2.16	4544	26	2. 상승 추세 / 눌림목
반도체 장비	003160	디아이	1.91	4445	66	1. 상승 추세 / 추세 확대중
반도체 장비	240810	원익IPS	1.68	11362	26	1. 상승 추세 / 추세 확대중
반도체 장비	083450	GST	1.15	3475	22	1. 상승 추세 / 추세 확대중
반도체 장비	095340	ISC	1.09	11128	40	1. 상승 추세 / 추세 확대중
반도체 장비	042700	한미반도체	0.97	80286	443	2. 상승 추세 / 눌림목
반도체 장비	319660	피에스케이	0.67	5503	26	1. 상승 추세 / 추세 확대중
반도체 장비	098460	고영	0.25	10936	142	2. 상승 추세 / 눌림목
반도체 장비	140860	파크시스템스	-0.74	18138	34	1. 상승 추세 / 추세 확대중
반도체 장비	089030	테크윙	-1.27	12999	116	2. 상승 추세 / 눌림목
반도체 장비	039030	이오테크닉스	-1.79	18343	95	2. 상승 추세 / 눌림목
반도체 장비	095610	테스	-2.24	4536	14	1. 상승 추세 / 추세 확대중
반도체 장비	323280	태성	-4.21	6816	29	1. 상승 추세 / 추세 확대중
방위산업	005870	휴니드	3.99	1229	13	1. 상승 추세 / 추세 확대중
방위산업	012450	한화에어로스페이스	-2.76	395869	881	1. 상승 추세 / 추세 확대중
방위산업	003570	SNT다이내믹스	-4.37	15229	26	2. 상승 추세 / 눌림목
보험	003690	코리안리	3.11	18410	22	1. 상승 추세 / 추세 확대중
보험	005830	DB손해보험	2.93	73207	106	1. 상승 추세 / 추세 확대중
보험	031210	서울보증보험	1.88	25973	101	1. 상승 추세 / 추세 확대중
보험	001450	현대해상	1.8	22215	58	1. 상승 추세 / 추세 확대중
보험	000810	삼성화재	1.35	193937	280	1. 상승 추세 / 추세 확대중
보험	088350	한화생명	0.31	26620	39	1. 상승 추세 / 추세 확대중
보험	032830	삼성생명	-0.33	215600	351	1. 상승 추세 / 추세 확대중
보험	000370	한화손해보험	-0.82	5650	20	2. 상승 추세 / 눌림목
보험	211050	인카금융서비스	-0.94	6242	37	2. 상승 추세 / 눌림목
섬유/의류	000050	경방	3.09	2154	28	1. 상승 추세 / 추세 확대중
신재생에너지	389260	대명에너지	8.91	4109	68	1. 상승 추세 / 추세 확대중
신재생에너지	017860	DS단석	3.47	4475	18	1. 상승 추세 / 추세 확대중
신재생에너지	448280	에코아이	0.97	3123	47	2. 상승 추세 / 눌림목
신재생에너지	011930	신성이엔지	0.46	3163	46	1. 상승 추세 / 추세 확대중
신재생에너지	009830	한화솔루션	0.32	54919	945	2. 상승 추세 / 눌림목
신재생에너지	112610	씨에스윈드	0.2	21423	291	1. 상승 추세 / 추세 확대중
신재생에너지	018000	유니슨	0.06	2567	48	2. 상승 추세 / 눌림목
신재생에너지	336260	두산퓨얼셀	-0.33	11867	51	1. 상승 추세 / 추세 확대중
신재생에너지	322000	HD현대에너지솔루션	-3.53	6048	459	2. 상승 추세 / 눌림목
엔터테인먼트	352820	하이브	5.1	117250	384	2. 상승 추세 / 눌림목
엔터테인먼트	035760	CJ ENM	3.78	14188	66	1. 상승 추세 / 추세 확대중
엔터테인먼트	079160	CJ CGV	3.43	8088	11	1. 상승 추세 / 추세 확대중
엔터테인먼트	035900	JYP Ent.	3.35	27360	178	1. 상승 추세 / 추세 확대중
엔터테인먼트	041510	에스엠	3.27	29396	125	1. 상승 추세 / 추세 확대중
엔터테인먼트	114090	GKL	1.88	9148	17	2. 상승 추세 / 눌림목
엔터테인먼트	376300	디어유	1.1	12415	61	2. 상승 추세 / 눌림목
엔터테인먼트	037270	YG PLUS	0.88	4110	48	1. 상승 추세 / 추세 확대중
엔터테인먼트	036420	콘텐트리중앙	0.81	2410	11	2. 상승 추세 / 눌림목
엔터테인먼트	253450	스튜디오드래곤	0.61	14939	64	1. 상승 추세 / 추세 확대중
엔터테인먼트	207760	미스터블루	0.31	1355	404	1. 상승 추세 / 추세 확대중
엔터테인먼트	122870	와이지엔터테인먼트	-0.23	15924	111	2. 상승 추세 / 눌림목
엔터테인먼트	419530	SAMG엔터	-7.23	6972	51	2. 상승 추세 / 눌림목
운송/항공/물류	004140	동방	4.98	1180	12	1. 상승 추세 / 추세 확대중
운송/항공/물류	039130	하나투어	4.01	8008	21	1. 상승 추세 / 추세 확대중
운송/항공/물류	005880	대한해운	3.87	5075	48	1. 상승 추세 / 추세 확대중
운송/항공/물류	086280	현대글로비스	3.65	84300	71	1. 상승 추세 / 추세 확대중
운송/항공/물류	000120	CJ대한통운	3.43	18888	64	1. 상승 추세 / 추세 확대중
운송/항공/물류	003280	흥아해운	1.88	3846	16	1. 상승 추세 / 추세 확대중
운송/항공/물류	028670	팬오션	1.22	20073	31	2. 상승 추세 / 눌림목
운송/항공/물류	003490	대한항공	0.88	83954	144	1. 상승 추세 / 추세 확대중
원자력	034020	두산에너빌리티	2.12	266153	2383	1. 상승 추세 / 추세 확대중
원자력	052690	한전기술	0.68	23390	163	1. 상승 추세 / 추세 확대중
원자력	457550	우진엔텍	0.49	1780	20	2. 상승 추세 / 눌림목
원자력	105840	우진	-2.28	1781	17	2. 상승 추세 / 눌림목
유통	007070	GS리테일	11.97	12992	19	1. 상승 추세 / 추세 확대중
유통	023530	롯데쇼핑	5.89	22461	31	1. 상승 추세 / 추세 확대중
유통	499790	GS피앤엘	5.1	6742	63	1. 상승 추세 / 추세 확대중
유통	139480	이마트	3.8	24173	78	1. 상승 추세 / 추세 확대중
유통	001740	SK네트웍스	3.3	9282	16	1. 상승 추세 / 추세 확대중
유통	001250	GS글로벌	2.07	2178	11	1. 상승 추세 / 추세 확대중
